Sample,,PC1,-PC2,PC2
HG00096,,-0.0182838963,0.03160245797,-0.03160245797
HG00097,,-0.01799578885,0.03193527061,-0.03193527061
HG00099,,-0.01785908223,0.03242291951,-0.03242291951
HG00100,,-0.01808559138,0.03295021139,-0.03295021139
HG00101,,-0.01759238838,0.03104531793,-0.03104531793
HG00102,,-0.01853598719,0.03168386665,-0.03168386665
HG00103,,-0.01848367432,0.0318466186,-0.0318466186
HG00104,,-0.01779651854,0.03127582796,-0.03127582796
HG00106,,-0.01891932659,0.03251555895,-0.03251555895
HG00108,,-0.01813483064,0.03190948343,-0.03190948343
HG00109,,-0.01824519547,0.03159085908,-0.03159085908
HG00110,,-0.01852254542,0.03136773671,-0.03136773671
HG00111,,-0.01844883575,0.03203566218,-0.03203566218
HG00112,,-0.01868267776,0.03227138049,-0.03227138049
HG00113,,-0.01806751142,0.03180339003,-0.03180339003
HG00114,,-0.01810322113,0.0321564563,-0.0321564563
HG00116,,-0.01890338793,0.03136621991,-0.03136621991
HG00117,,-0.0181845962,0.03234014347,-0.03234014347
HG00118,,-0.01832186214,0.03209426273,-0.03209426273
HG00119,,-0.01824061107,0.03241272886,-0.03241272886
HG00120,,-0.01839334967,0.03314604659,-0.03314604659
HG00121,,-0.01847341721,0.03167558342,-0.03167558342
HG00122,,-0.01865753868,0.03224409476,-0.03224409476
HG00123,,-0.01831441943,0.03222456974,-0.03222456974
HG00124,,-0.01821042301,0.03236318841,-0.03236318841
HG00125,,-0.01819993557,0.03235983684,-0.03235983684
HG00126,,-0.01825880548,0.03221388481,-0.03221388481
HG00127,,-0.01846742813,0.03254126431,-0.03254126431
HG00128,,-0.01744411262,0.03288789074,-0.03288789074
HG00129,,-0.01806661409,0.03182350621,-0.03182350621
HG00130,,-0.01733989541,0.03280985892,-0.03280985892
HG00131,,-0.01786927285,0.03247660905,-0.03247660905
HG00133,,-0.01852347673,0.03245796497,-0.03245796497
HG00134,,-0.01768501997,0.03260374703,-0.03260374703
HG00135,,-0.01775838234,0.03233965001,-0.03233965001
HG00136,,-0.01885594686,0.03177807535,-0.03177807535
HG00137,,-0.01826874895,0.03266228907,-0.03266228907
HG00138,,-0.01800679301,0.03269153529,-0.03269153529
HG00139,,-0.01792125474,0.03292419235,-0.03292419235
HG00140,,-0.01851726376,0.03176849593,-0.03176849593
HG00141,,-0.01864971751,0.03257509363,-0.03257509363
HG00142,,-0.01795259977,0.03326665918,-0.03326665918
HG00143,,-0.01816033798,0.03245990522,-0.03245990522
HG00146,,-0.01876803222,0.03280528292,-0.03280528292
HG00148,,-0.01838503703,0.03214301248,-0.03214301248
HG00149,,-0.01826505956,0.03225126539,-0.03225126539
